code,brand,category,shirt_fit,date,metric,metric_type,original_url,local_video,download_status,download_url
V43,Vaucluse,On-body styling,Strong match,20250519,12500,views,https://www.instagram.com/vauclusestudios/reel/DJ076mCymUL/,media/DJ076mCymUL.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DJ076mCymUL.mp4
V44,Vaucluse,On-body styling,Adapt concept,20250501,15300,views,https://www.instagram.com/vauclusestudios/reel/DJGpKtiy1V-/,media/DJGpKtiy1V-.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DJGpKtiy1V-.mp4
V45,Vaucluse,On-body styling,Adapt concept,20250311,11800,views,https://www.instagram.com/vauclusestudios/reel/DHDbwLaJRsL/,media/DHDbwLaJRsL.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DHDbwLaJRsL.mp4
V46,Vaucluse,On-body styling,Strong match,20250218,15300,views,https://www.instagram.com/vauclusestudios/reel/DGNVK0LSUOA/,media/DGNVK0LSUOA.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DGNVK0LSUOA.mp4
V47,Vaucluse,On-body styling,Adapt concept,20250113,18800,views,https://www.instagram.com/vauclusestudios/reel/DEwivSaSTA7/,media/DEwivSaSTA7.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DEwivSaSTA7.mp4
V48,Vaucluse,On-body styling,Strong match,20240918,10400,views,https://www.instagram.com/vauclusestudios/reel/DADLIEnJTTM/,media/DADLIEnJTTM.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/DADLIEnJTTM.mp4
V49,Vaucluse,On-body styling,Adapt concept,20240828,11400,views,https://www.instagram.com/vauclusestudios/reel/C_NXQE0JF2s/,media/C_NXQE0JF2s.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/C_NXQE0JF2s.mp4
V50,Vaucluse,Lifestyle / travel,Adapt concept,20240819,76800,views,https://www.instagram.com/vauclusestudios/reel/C-2COAtJL4d/,media/C-2COAtJL4d.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/C-2COAtJL4d.mp4
V51,Vaucluse,Product demo,Strong match,20240801,25600,views,https://www.instagram.com/vauclusestudios/reel/C-JKk9evMlV/,media/C-JKk9evMlV.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/C-JKk9evMlV.mp4
V52,Vaucluse,Lifestyle / travel,Adapt concept,20240730,11900,views,https://www.instagram.com/vauclusestudios/reel/C-BqSpPyR17/,media/C-BqSpPyR17.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/C-BqSpPyR17.mp4
V53,Vaucluse,On-body styling,Strong match,20240729,16000,views,https://www.instagram.com/vauclusestudios/reel/C9_-g9EpRC2/,media/C9_-g9EpRC2.mp4,downloaded,https://github.com/frompaulxam-gif/venture-reels-paulqc/releases/download/video-downloads-v1/C9_-g9EpRC2.mp4
