month,revenue_display_dollars,lower_display_dollars,upper_display_dollars,source,observed_date
2026-01,39000,34000,43000,https://www.particl.com/company/vaucluse-studios,2026-09-11
2026-02,49000,44000,54000,https://www.particl.com/company/vaucluse-studios,2026-09-11
2026-03,130000,115000,146000,https://www.particl.com/company/vaucluse-studios,2026-09-11
2026-04,84000,75000,93000,https://www.particl.com/company/vaucluse-studios,2026-09-11
2026-05,79000,70000,89000,https://www.particl.com/company/vaucluse-studios,2026-09-11
2026-06,101000,90000,112000,https://www.particl.com/company/vaucluse-studios,2026-09-11
